,Unnamed: 0,Airline,Journey_date,From,To,Dtime,Atime,Stops,Price
0,0,,,,,,,,
1,0,Spicejet,25/01/2022,Goa,Ahmedabad,06:20,08:20,Non stop,"₹ 5,315"
2,1,Go First,25/01/2022,Goa,Ahmedabad,13:15,20:25,1 stop via Mumbai,"₹ 5,315"
3,2,Go First,25/01/2022,Goa,Ahmedabad,14:00,20:55,1 stop via Bengaluru,"₹ 5,315"
4,3,Go First,25/01/2022,Goa,Ahmedabad,23:55,06:40,1 stop via Mumbai,"₹ 5,315"
5,4,Go First,25/01/2022,Goa,Ahmedabad,18:15,06:40,1 stop via Mumbai,"₹ 5,315"
6,5,Go First,25/01/2022,Goa,Ahmedabad,17:00,06:40,1 stop via Mumbai,"₹ 5,315"
7,6,Spicejet,25/01/2022,Goa,Ahmedabad,13:55,08:20,1 stop via Pune,"₹ 5,315"
8,7,IndiGo,25/01/2022,Goa,Ahmedabad,13:10,18:30,1 stop via Mumbai,"₹ 5,316"
9,8,IndiGo,25/01/2022,Goa,Ahmedabad,15:25,20:45,1 stop via Bengaluru,"₹ 5,316"
10,9,IndiGo,25/01/2022,Goa,Ahmedabad,16:30,21:25,1 stop via Mumbai,"₹ 5,316"
11,10,IndiGo,25/01/2022,Goa,Ahmedabad,20:10,06:25,1 stop via Chennai,"₹ 5,316"
12,11,IndiGo,25/01/2022,Goa,Ahmedabad,21:20,06:55,1 stop via Hyderabad,"₹ 5,316"
13,12,Air India,25/01/2022,Goa,Ahmedabad,15:20,19:55,1 stop via Mumbai,"₹ 6,724"
14,13,Go First,25/01/2022,Goa,Ahmedabad,21:05,22:40,Non stop,"₹ 7,677"
15,14,"Vistara, IndiGo",25/01/2022,Goa,Ahmedabad,13:20,18:30,1 stop via Mumbai,"₹ 8,005"
16,0,Spicejet,26/01/2022,Goa,Ahmedabad,06:20,08:20,Non stop,"₹ 5,315"
17,1,Go First,26/01/2022,Goa,Ahmedabad,21:05,22:40,Non stop,"₹ 5,315"
18,2,Go First,26/01/2022,Goa,Ahmedabad,13:15,19:25,1 stop via Mumbai,"₹ 5,315"
19,3,Go First,26/01/2022,Goa,Ahmedabad,06:40,19:25,1 stop via Mumbai,"₹ 5,315"
20,4,Go First,26/01/2022,Goa,Ahmedabad,13:10,20:55,1 stop via Bengaluru,"₹ 5,315"
21,5,Go First,26/01/2022,Goa,Ahmedabad,18:15,00:05,1 stop via Mumbai,"₹ 5,315"
22,6,Go First,26/01/2022,Goa,Ahmedabad,17:00,00:05,1 stop via Mumbai,"₹ 5,315"
23,7,Go First,26/01/2022,Goa,Ahmedabad,17:40,07:30,1 stop via New Delhi,"₹ 5,315"
24,8,Spicejet,26/01/2022,Goa,Ahmedabad,13:55,08:20,1 stop via Pune,"₹ 5,315"
25,9,IndiGo,26/01/2022,Goa,Ahmedabad,13:10,20:25,1 stop via Mumbai,"₹ 5,316"
26,10,IndiGo,26/01/2022,Goa,Ahmedabad,15:25,20:45,1 stop via Bengaluru,"₹ 5,316"
27,11,IndiGo,26/01/2022,Goa,Ahmedabad,14:35,20:45,1 stop via Bengaluru,"₹ 5,316"
28,12,Air India,26/01/2022,Goa,Ahmedabad,15:20,19:55,1 stop via Mumbai,"₹ 6,724"
29,13,IndiGo,26/01/2022,Goa,Ahmedabad,13:10,18:30,1 stop via Mumbai,"₹ 7,416"
30,0,Go First,27/01/2022,Goa,Ahmedabad,21:05,22:40,Non stop,"₹ 5,315"
